"","Ligand","Receptor","LR"
"1","Kiss1","Kiss1r","Kiss1-Kiss1r"
"2","Pomc","Mc1r","Pomc-Mc1r"
"3","Pomc","Mc2r","Pomc-Mc2r"
"4","Pomc","Mc3r","Pomc-Mc3r"
"5","Pomc","Mc4r","Pomc-Mc4r"
"6","Pomc","Mc5r","Pomc-Mc5r"
"7","Npy","Npy1r","Npy-Npy1r"
"8","Npy","Npy2r","Npy-Npy2r"
"9","Npy","Npy4r","Npy-Npy4r"
"10","Npy","Npy5r","Npy-Npy5r"
"11","Npy","Npy6r","Npy-Npy6r"
"12","Npy","Gpr83","Npy-Gpr83"
"13","Npy","Pgr15l","Npy-Pgr15l"
"14","Avp","Avpr2","Avp-Avpr2"
"15","Avp","Avpr1a","Avp-Avpr1a"
"16","Avp","Avpr1b","Avp-Avpr1b"
"17","Vip","Vipr1","Vip-Vipr1"
"18","Vip","Vipr2","Vip-Vipr2"
"19","Tgfb1","Tgfbr1","Tgfb1-Tgfbr1"
"20","Tgfb2","Tgfbr1","Tgfb2-Tgfbr1"
"21","Tgfb3","Tgfbr1","Tgfb3-Tgfbr1"
"22","Tgfb1","Acvr1b","Tgfb1-Acvr1b"
"23","Tgfb1","Acvr1c","Tgfb1-Acvr1c"
"24","Tgfb2","Acvr1b","Tgfb2-Acvr1b"
"25","Tgfb2","Acvr1c","Tgfb2-Acvr1c"
"26","Tgfb3","Acvr1b","Tgfb3-Acvr1b"
"27","Tgfb3","Acvr1c","Tgfb3-Acvr1c"
"28","Tgfb1","Acvr1","Tgfb1-Acvr1"
"29","Tgfb2","Acvr1","Tgfb2-Acvr1"
"30","Tgfb3","Acvr1","Tgfb3-Acvr1"
"31","Bmp2","Bmpr1a","Bmp2-Bmpr1a"
"34","Bmp2","Bmpr1b","Bmp2-Bmpr1b"
"37","Bmp4","Bmpr1a","Bmp4-Bmpr1a"
"40","Bmp4","Bmpr1b","Bmp4-Bmpr1b"
"43","Gdf5","Bmpr1a","Gdf5-Bmpr1a"
"46","Gdf5","Bmpr1b","Gdf5-Bmpr1b"
"49","Gdf6","Bmpr1a","Gdf6-Bmpr1a"
"52","Gdf6","Bmpr1b","Gdf6-Bmpr1b"
"55","Gdf7","Bmpr1a","Gdf7-Bmpr1a"
"58","Gdf7","Bmpr1b","Gdf7-Bmpr1b"
"61","Bmp15","Bmpr1b","Bmp15-Bmpr1b"
"62","Bmp5","Acvr1","Bmp5-Acvr1"
"65","Bmp5","Bmpr1a","Bmp5-Bmpr1a"
"68","Bmp5","Bmpr1b","Bmp5-Bmpr1b"
"71","Bmp6","Acvr1","Bmp6-Acvr1"
"74","Bmp6","Bmpr1a","Bmp6-Bmpr1a"
"77","Bmp6","Bmpr1b","Bmp6-Bmpr1b"
"80","Bmp7","Acvr1","Bmp7-Acvr1"
